,App_name,Executed instructions (%),Instruction throughput (%),Issued instructions (%),Memory Stall (%),Controller Stall (%),Throttle Stall (%),temperature_C,mean_energy_J,Response time (s),S_act
0,Back Propagation,2.0873074876033058,79.61463107438016,16.299527847107438,2.240799676446281,7.8913970322314055,12.2084337965881,54.52601156069364,5027.120939597316,115,22.340630505265786
1,GPU-burn,2.9927775,74.8229,74.819525,0.309579168,8.57357442857143,0.2790072998,64.9656862745098,7127.000790273539,115,9.16216089637143
2,Gaussian Elimination,0.41238549999999996,11.212912500000002,10.02945,33.94175,5.924342160714285,3.129286605,54.052023121387286,4940.162818791945,105,42.99537876571428
3,LeNet5,1.8609974999999999,55.694,21.211975000000002,39.093329024999996,6.9514875,3.6670583500000005,59.5,5441.373675213729,110,49.71187487499999
4,MnasNet,1.69962,45.745824999999996,24.6949,41.13194100875,4.441143928571428,4.600651944999999,63.19064748201439,6007.261786600482,150,50.17373688232142
5,MobileNetV2,1.53448,46.4901,25.465925,40.27763765,5.238196071428572,4.448594535,61.723404255319146,5799.825833333346,140,49.964428256428576
6,Needleman-Wunsch,0.18634133333333333,5.844401250000001,3.7895514458333333,10.080128970833334,7.959689285714285,0.133691584355,53.50867052023121,4876.85778523489,105,18.173509840902618
7,ResNet18,2.1986175,59.040350000000004,24.38635,42.514935824999995,6.051907857142857,3.17869516,62.029535864978904,5894.598563536024,145,51.74553884214285
8,Stream Cluster,0.118197,3.48175,3.47245,38.53845,2.005870857142857,0.23364165999999997,53.86705202312139,4818.770738255057,110,40.77796251714285
